author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,pubvol,pubno,firstpage,lastpage
W,Schawaller,,,,1991,"The first Mesozoic pseudoscorpion, from Cretaceous Canadian amber",Palaeontology,34,4,971,976
P. A.,Latreille,,,,1802,,"Histoire Naturelle, Générale et Particulière des Crustacés et des Insectes, Tome Troisième",,,1,467
T. D. A.,Cockerell,,,,1917,Arthropods in Burmese amber,"American Journal of Science, Series 4",44,263,360,368
M. E.,Clapham,,,,2020,"Insect taxonomy information from the internet, with fixing of species orphaned by genus synonymy",,,,,
M. L. I.,Judson,,,,2003,"Baltic amber pseudoscorpions (Arachnida, Chelonethi): a new species of Neobisium (Neobisiidae) and the status of Obisium rathkii Koch & Berendt",Geodiversitas,25,3,445,450
T. D. A.,Cockerell,,,,1920,"T. D. A. Cockerell. 1920. Fossil Arthropods in the British Museum, I","The Annals and Magazine of Natural History, Ninth Series",5,,273,279
M. L. I.,Judson,,,,2000,"Electrobisium acutum Cockerell, a cheiridiid pseudoscorpion from Burmese amber, with remarks on the validity of the Cheiridioidea (Arachnida, Chelonethi)","Bulletin of the Natural History Museum, Geology Series",56,,79,83
W. D.,Pierce,J.,Gibron,,1962,Fossil arthropods of California. 24. Some unusual fossil arthropods from the Calico Mountain nodules,Bulletin of the Southern California Academy of Sciences,61,,143,151
J. A.,Dunlop,D.,Penney,D. Jekel,2013,A summary list of fossil spiders and their relatives,"The World Spider Catalog, version 14.0. American Museum of Natural History",,,,
C. L.,Koch,G. C.,Berendt,,1854,"Die im Bernstein befindlichen Crustaceen, Myriapoden, Arachniden und Apteren der Vorwelt",Die in Bernstein Befindlichen Organischen Reste der Vorwelt Gesammelt in Verbindung mit Mehreren Bearbeitetet und Herausgegeben,1,2,1,124
J. W.,Shultz,,,,2007,A phylogenetic analysis of the arachnid orders based on morphological characters,Zoological Journal of the Linnean Society,150,,221,265
W.,Schawaller,,,,1980,"Erstnachweis tertiärer Pseudoskorpione (Chernetidae) in Dominikanischem Bernstein (Stuttgarter Bernsteinsammlung: Arachnida, Pseudoscorpionidea)",Stuttgarter Beiträge zur Naturkunde Serie B (Geologie und Paläontologie),57,,1,20
W.,Schawaller,,,,1980,"Fossile Chthoniidae in Dominikanischem Bernstein, mit phylogenetischen Anmerkungen (Stuttgarter Bernsteinsammlung: Arachnida, Pseudoscorpionidea)",Stuttgarter Beiträge zur Naturkunde Serie B (Geologie und Paläontologie),63,,1,19
W.,Schawaller,,,,1978,Neue Pseudoskorpione aus dem Baltischen Bernstein der Stuttgarter Bernsteinsammlung (Arachnida: Pseudoscorpionidea),Stuttgarter Beiträge zur Naturkunde Serie B (Geologie und Paläontologie),42,,1,21
A.,Menge,,,,1854,"Footnotes and taxonomic names, in Die im Bernstein befindlichen Crustaceen, Myriapoden, Arachniden und Apteren der Vorwelt",Die in Bernstein Befindlichen Organischen Reste der Vorwelt Gesammelt in Verbindung mit Mehreren Bearbeitetet und Herausgegeben,1,2,1,124
W.,Schawaller,,,,1981,Pseudoskorpione (Cheliferidae) phoretisch auf Käfern (Platypodidae) in Dominikanischem Bernstein (Stuttgarter Bernsteinsammlung: Pseudoscorpionidea und Coleoptera),Stuttgarter Beiträge zur Naturkunde Serie B (Geologie und Paläontologie),71,,1,17
M. L. I.,Judson,,,,2010,"Redescription of Chelifer eucarpus Dalman (Arachnida, Chelonethi, Withiidae) and fi rst records of pseudoscorpions in copal from Madagascar and Colombia",Palaeodiversity,3,,33,42
J. W.,Dalman,,,,1826,Om insekter inneslutne i Copal; jemte beskrifning på några deribland förekommande nya slägten och arter,Kongliga Svenska Vetenskaps-Akademiens Handlingar,1825,,375,410
M.,Beier,,,,1947,Pseudoskorpione im baltischen Bernstein und die Untersuchung von Bernstein-Einschlüssen,"Mikroscopie, Wien",1,,188,199
M. L. I.,Judson,,,,2012,Reinterpretation of Dracochela deprehendor (Arachnida: Pseudoscorpiones) as a stem-group pseudoscorpion,Palaeontology,55,,261,283
W.,Schawaller,W. A.,Shear,P. M. Bonamo,1991,"The first Paleozoic pseudoscorpions (Arachnida, Pseudoscorpiones)",American Museum Novitates,3009,,1,17
W.,Schawaller,,,,1981,"Cheiridiidae in Dominikanischem Bernstein, mit Anmerkungen zur morphologischen Variabilität (Stuttgarter Bernsteinsammlung: Arachnida, Pseudoscorpionidea)",Stuttgarter Beiträge zur Naturkunde Serie B (Geologie und Paläontologie),75,,1,14
M. L. I.,Judson,,,,2009,"Cheliferoid pseudoscorpions (Arachnida, Chelonethi) from the Lower Cretaceous of France",Geodiversitas,31,,61,71
M. L. I.,Judson,,,,2003,Baltic amber fossil Garypinus electri Beier provides first evidence of phoresy in the pseudoscorpion family Garypinidae (Arachnida: Chelonethi),"Arthropoda Selecta, Special Issue",1,,127,131
M. L. I.,Judson,,,,1998,"A sternophorid pseudoscorpion (Chelonethi) in Dominican amber, with remarks on the family",The Journal of Arachnology,26,,419,428
H.,Henderickx,,,,2005,A new Geogarypus from Baltic amber Pseudoscorpiones: Geogarypidae,Phegea,33,,87,92
H.,Henderickx,,,,2012,"Taxonomic names, in Phase-contrast synchrotron microtomography reveals the morphology of a partially visible new Pseudogarypus in Baltic amber (Pseudoscorpiones: Pseudogarypidae)",Palaeontologia Electronica,15,2.17A,1,11
H.,Henderickx,E. E.,Perkovsky,,2012,"The first geogarypid (Pseudoscorpiones, Geogarypidae) in Rovno amber",Vestnik Zoologii,46,,e33,e36
H.,Henderickx,,,,2006,"Taxonomic names, in Description of a new fossil Pseudogarypus (Pseudoscorpiones: Pseudogarypidae) with the use of X-ray micro-CT to penetrate opaque amber",Zootaxa,1305,,41,50
M.,Beier,,,,1955,Pseudoscorpione im baltischen Bernstein aus dem Geologischen Staatsinstitut in Hamburg,Mitteilungen aus dem Geologisch-Paläontologischen Institut der Universität Hamburg,24,,48,54
M. L. I.,Judson,,,,2007,"First fossil record of the pseudoscorpion family Pseudochiridiidae (Arachnida, Chelonethi, Cheiridioidea) from Dominican amber",Zootaxa,1393,,45,51
A. J.,Ross,P. V.,York,,2000,A list of type and figured specimens of insects and other inclusions in Burmese amber,"Bulletin of the Natural History Museum, Geology Series",56,,11,20
F.,Riquelme,D. F.,Piedra-Jiménez,V. Córdova-Tabares,2014,"Taxonomic names, in A new chernetid pseudoscorpion from the Miocene Chiapas – amber Lagerstätte, Mexico",Canadian Journal of Earth Sciences,51,,902,908
M.,Beier,,,,1937,Pseudoscorpione aus dem baltischen Bernstein,Festschrift zum 60 Geburtstage von Professor Dr. Embrik Strand,2,,302,316
E. L.,Geoffroy,,,,1762,,"Histoire Abregée des Insectes qui se Trouvent aux Environs de Paris, Tome Second",,,1,690
J. C.,Schaeffer,,,,1766,,Elementa Entomologica. CXXXV. Tabulae aere Excusae Floridisque Coloribus Distinctae,,,,
M. L. I.,Judson,,,,2016,"Pseudoscorpions (Arachnida, Chelonethi) in Mexican amber, with a list of extant species associated with mangrove and Hymenaea trees in Chiapas",Boletín de la Sociedad Geológica Mexicana,68,,57,79
H.,Henderickx,,,,2016,"Systematics, in The basal pseudoscorpion family Feaellidae Ellingsen, 1906 walks the Earth for 98,000,000 years: an new fossil genus has been found in Cretaceous Burmese amber (Pseudoscorpiones: Feaellidae)",Entomo-Info,27,,7,12
A. R.,Schmidt,U.,Kaulfuss,"J. M. Bannister, V. Baranov, C. Beimforde, N. Bleile, A. Borkent, A. Busch, J. G. Conran, M. S. Engel, M. Harvey, E. M. Kennedy, P. H. Kerr, E. Kettunen, A. P. Kiecksee, F. Lengeling, J. K. Lindqvist, M. Maraun, D. C. Mildenhall, V. Perrichot, J. Rikkinen",2018,Amber inclusions from New Zealand,Gondwana Research,56,,135,146
M. S.,Harvey,J. G.,Cosgrove,"D. Harms, P. A. Selden, C. K. Shih, C. C. Wang",2018,The oldest chthonioid pseudoscorpion Arachnida: Pseudoscorpiones: Chthonioidea: Chthoniidae: A new genus and species from mid-Cretaceous Burmese ambe,Zoologischer Anzeiger,273,,102,111
